"","V1","V2","V3"
"309","AFG","DEU","4.52049480887068"
"310","AFG","GBR","2.70205830601186"
"311","AFG","IRN","2.62100143833988"
"312","AFG","IRQ","2.1012578419838"
"313","AFG","LBN","2.81340024161323"
"314","AFG","MYS","4.02843601895735"
"315","AFG","PHL","2.98913043478261"
"316","AFG","RUS","6.92358188164163"
"317","AFG","SYR","2.36338632502162"
"318","AFG","TJK","2.13714869439436"
"319","AFG","UZB","2.43478260869565"
"320","AFG","VNM","1.98019801980198"
"321","AFR","AUS","1.87836021505377"
"322","AFR","AUT","3.97562530759297"
"323","AFR","CMR","2.4412915851272"
"324","AFR","EGY","2.69770862025468"
"325","AFR","ETH","3.82404580152672"
"326","AFR","EUR","2.03707865383245"
"327","AFR","IRN","2.45901639344262"
"328","AFR","ISR","2.485966319166"
"329","AFR","ITA","3.92609699769053"
"330","AFR","JOR","1.65016501650165"
"331","AFR","JPN","1.81488203266788"
"332","AFR","LKA","2.5184981974806"
"333","AFR","LSO","2.0070725722723"
"334","AFR","MAR","1.79640718562874"
"335","AFR","MDG","5.84795321637427"
"336","AFR","MDV","1.6057944213284"
"337","AFR","MLI","9.16030534351145"
"338","AFR","NGA","2.07030032296849"
"339","AFR","NLD","4.75041567266681"
"340","AFR","NZL","3.11238317956263"
"341","AFR","RWA","2.38932577740317"
"342","AFR","SLE","3.65834548420249"
"343","AFR","TZA","3.55528877045717"
"344","AFR","UGA","2.90022852084787"
"345","AGO","UGA","0.74631021999443"
"346","AGO","USA","2.5"
"347","ALB","BRA","5.84615384615385"
"348","ALB","EUR","3.3185379473031"
"349","ALB","FRA","2.35108803453708"
"350","ALB","GBR","2.23880597014925"
"351","ALB","IDN","2.85006195786865"
"352","ALB","IRL","2.70931715556168"
"353","ALB","IRQ","2.6299802629443"
"354","ALB","ITA","2.62914897382203"
"355","ALB","MKD","3.8017743893058"
"356","ALB","MLT","2.99081969636295"
"357","ALB","PHL","3.42759211653813"
"358","ALB","SAU","3.6144578313253"
"359","ALB","SYR","4.18848167539267"
"360","ALB","TWN","3.92609699769053"
"361","ALB","USA","2.95825271064764"
"362","ALB","VAT","3.46164728467206"
"363","ARE","AUS","2.04639275895295"
"364","ARE","BHR","2.01223967848009"
"365","ARE","CAN","4.01811736035514"
"366","ARE","CHN","1.832492334228"
"367","ARE","EUR","3.11457174638487"
"368","ARE","IRQ","2.36551030494246"
"369","ARE","ITA","4.40317129410279"
"370","ARE","KHM","1.97044334975369"
"371","ARE","MLT","2.1411578112609"
"372","ARE","NLD","0"
"373","ARE","OMN","1.4344262295082"
"374","ARE","SYC","5.15223912895519"
"375","ARE","SYR","2.7910710417545"
"376","ARE","TWN","1.97044334975369"
"377","ARE","ZWE","2.08333333333333"
"378","ALB","ARG","4.53900709219858"
"379","ARG","EUR","3.75234521575985"
"380","ARG","ISR","1.49686209190306"
"381","ARG","ITA","3.2709878719975"
"382","ARG","PHL","3.30894285795633"
"383","ARG","PSE","1.62162162162162"
"384","ARG","RUS","3.74676623797081"
"385","ARG","SYR","1.32013201320132"
"386","ARG","USA","2.49156665606064"
"387","ARG","VAT","1.41910044188407"
"388","ARG","VEN","1.13285272914521"
"389","ARM","BLR","1.80505415162455"
"390","ARM","CAN","5.078125"
"391","ARM","CYP","3.05343511450382"
"392","ARM","IND","0.689655172413793"
"393","ARM","IRN","3.74079959852794"
"394","ARM","ITA","2.51477080718663"
"395","ARM","KWT","2.68741159830269"
"396","ARM","RUS","2.31201463003739"
"397","ARM","TUR","2.56972641321963"
"398","ARM","VAT","2.57731958762887"
"399","AFG","AUS","1.45003274192845"
"400","AFR","AUS","1.95450004983525"
"401","ARE","AUS","1.97042218013028"
"402","AUS","BRA","2.24027142341277"
"403","AUS","CAN","2.2017246602035"
"404","AUS","COL","0.389128624422742"
"405","AUS","DEU","3.03895797161949"
"406","AUS","EGY","3.14454952545776"
"407","AUS","ESP","3.21818878920328"
"408","AUS","FJI","3.61132755442156"
"409","AUS","FRA","2.35084338138803"
"410","AUS","IDN","2.53124098393838"
"411","AUS","IND","3.69238510584148"
"412","AUS","IRL","2.74384666606534"
"413","AUS","ISR","2.29830563995225"
"414","AUS","ITA","3.17252931323283"
"415","AUS","JPN","2.73495356460724"
"416","AUS","KEN","1.48398552530863"
"417","AUS","LBN","1.98300283286119"
"418","AUS","MEX","2.42851034494795"
"419","AUS","MYS","1.67424436938318"
"420","AUS","NGA","1.10497237569061"
"421","AUS","NZL","3.46563801289338"
"422","AUS","PHL","3.14590008398917"
"423","AUS","PNG","0.7761381814182"
"424","AUS","PSE","2.29996372455752"
"425","AUS","RUS","2.90488024256404"
"426","AUS","SGP","3.99701128207782"
"427","AUS","SYC","6.01503759398496"
"428","AUS","SYR","1.72031039394616"
"429","AUS","THA","1.46203983527523"
"430","AUS","ZAF","1.77967635680145"
"431","AUS","ZWE","2.2"
"432","AFR","AUT","2.76735836916147"
"433","AUS","AUT","2.84485815273994"
"434","AUT","CRI","3.50051485731098"
"435","AUT","EUR","3.18944184767666"
"436","AUT","FRA","3.18944184767666"
"437","AUT","GRC","1.93929173693086"
"438","AUT","IRN","1.9047619047619"
"439","AUT","ISR","4.31034482758621"
"440","AUT","ITA","1.93929173693086"
"441","AUT","OMN","2.43785850860421"
"442","AUT","POL","3.52238805970149"
"443","AUT","RUS","2.45555306157147"
"444","AUT","SDN","2.45901639344262"
"445","ARM","AZE","0.925925925925926"
"446","AZE","GRC","1.72166427546628"
"447","AZE","IRN","2.19103124336382"
"448","AZE","RUS","1.84055619900249"
"449","AZE","TUR","3.41543956883376"
"450","AZE","TZA","0.911854103343465"
"451","BDI","CHN","3.21903586609469"
"452","AFG","BEL","4.48430493273543"
"453","BEL","BLR","6.14035087719298"
"454","BEL","DEU","0.900900900900901"
"455","BEL","FRA","0.900900900900901"
"456","BEL","GBR","3.12000005648656"
"457","BEL","ISR","0.825082508250825"
"458","BEL","NLD","0.886528853684114"
"459","BEL","PHL","2.93663060278207"
"460","BEL","RUS","0"
"461","BEL","SYR","0.291531952533501"
"462","BEL","TUR","0.538253352633817"
"463","BEL","UKR","2.07972270363951"
"464","BEL","USA","2.56925684409027"
"465","BEL","ZWE","1.94690265486726"
"466","BEN","EUR","2.57510729613734"
"467","BGD","CHN","0"
"468","BGD","EUR","2.0746887966805"
"469","BGD","IND","3.46736312051407"
"470","BGD","ISR","4.21810699588477"
